as_of,index_name,code
2023-06-30,hs300,600000
2023-06-30,hs300,600009
2023-06-30,hs300,600010
2023-06-30,hs300,600011
2023-06-30,hs300,600015
2023-06-30,hs300,600016
2023-06-30,hs300,600018
2023-06-30,hs300,600019
2023-06-30,hs300,600025
2023-06-30,hs300,600028
2023-06-30,hs300,600029
2023-06-30,hs300,600030
2023-06-30,hs300,600031
2023-06-30,hs300,600036
2023-06-30,hs300,600039
2023-06-30,hs300,600048
2023-06-30,hs300,600050
2023-06-30,hs300,600061
2023-06-30,hs300,600085
2023-06-30,hs300,600089
2023-06-30,hs300,600104
2023-06-30,hs300,600111
2023-06-30,hs300,600115
2023-06-30,hs300,600132
2023-06-30,hs300,600150
2023-06-30,hs300,600176
2023-06-30,hs300,600183
2023-06-30,hs300,600188
2023-06-30,hs300,600196
2023-06-30,hs300,600219
2023-06-30,hs300,600233
2023-06-30,hs300,600276
2023-06-30,hs300,600309
2023-06-30,hs300,600332
2023-06-30,hs300,600346
2023-06-30,hs300,600362
2023-06-30,hs300,600383
2023-06-30,hs300,600406
2023-06-30,hs300,600426
2023-06-30,hs300,600436
2023-06-30,hs300,600438
2023-06-30,hs300,600460
2023-06-30,hs300,600519
2023-06-30,hs300,600547
2023-06-30,hs300,600570
2023-06-30,hs300,600584
2023-06-30,hs300,600585
2023-06-30,hs300,600588
2023-06-30,hs300,600600
2023-06-30,hs300,600606
2023-06-30,hs300,600660
2023-06-30,hs300,600674
2023-06-30,hs300,600690
2023-06-30,hs300,600732
2023-06-30,hs300,600741
2023-06-30,hs300,600745
2023-06-30,hs300,600754
2023-06-30,hs300,600760
2023-06-30,hs300,600763
2023-06-30,hs300,600795
2023-06-30,hs300,600803
2023-06-30,hs300,600809
2023-06-30,hs300,600837
2023-06-30,hs300,600845
2023-06-30,hs300,600875
2023-06-30,hs300,600884
2023-06-30,hs300,600886
2023-06-30,hs300,600887
2023-06-30,hs300,600893
2023-06-30,hs300,600900
2023-06-30,hs300,600905
2023-06-30,hs300,600918
2023-06-30,hs300,600919
2023-06-30,hs300,600926
2023-06-30,hs300,600941
